NAPR,PERIOD,STRANA,TNVED,EDIZM,STOIM,NETTO,KOL
ЭК,10/2016,BY,65,,1617.34,517.44,0
ЭК,12/2016,AM,22,,28483.95,41522.08,0
ЭК,10/2016,AB,28,,317.19,566.81,0
ЭК,10/2016,UA,28,,617.79,1162.74,0
ЭК,12/2016,GE,28,,395.18,634.95,0
ИМ,10/2016,BY,83,,111546.58,41149,0
ЭК,12/2016,BY,83,,124.51,6,0
ИМ,10/2016,DE,35,,100348.81,43918.14,0
ЭК,12/2016,FR,12,,36670,7720,0
ЭК,12/2016,DE,04,,23571.6,3223.01,0
ИМ,10/2016,BY,04,,80960.86,2e4,0
ЭК,10/2016,AB,38,,5960.14,13461.97,0
ИМ,10/2016,DE,29,,1888.19,849.31,0
ЭК,12/2016,GE,34,,3783.28,4802.74,0
ЭК,10/2016,AB,72,,13942.75,13548.12,0
ИМ,12/2016,DE,34,,6137.17,1019.18,0
ЭК,12/2016,KZ,44,,12492.44,20800,0
ЭК,12/2016,AB,72,,8267.82,7440.36,0
ИМ,12/2016,DE,72,,145346.68,179645,0
ЭК,10/2016,AB,70,,1604.72,598.9,0
ИМ,12/2016,IT,70,,7845.96,1280.59,0
ИМ,12/2016,CN,68,,4904.93,7110.12,0
ИМ,11/2016,CN,68,,8895.8,23500,0
ИМ,11/2016,CN,69,,258240.81,778381.8,0
ЭК,12/2016,UA,18,,16901.66,6827.8,0
ЭК,12/2016,BY,18,,6463.24,2950,0
ИМ,12/2016,BY,69,,61887.5,30018.39,0
ЭК,11/2016,BY,86,,175.66,1.02,0
ИМ,12/2016,FI,94,,1230.09,27,0
ЭК,12/2016,UA,20,,7185.9,18212.4,0
ИМ,12/2016,AR,08,,43875,22500,0
ИМ,11/2016,TR,25,,41562.5,625e3,0
ЭК,10/2015,GE,15,,22344,22800,0
ЭК,10/2015,TM,15,,323720,309425,0
ЭК,11/2015,UA,15,,105245.62,103576.02,0
ЭК,10/2015,UZ,15,,1409031.23,1377175.12,0
ЭК,12/2015,BY,84,,55473.31,12911,0
ИМ,12/2015,BY,84,,37720.18,39827.65,0
ЭК,12/2015,GB,09,,5650,24e3,0
ИМ,10/2015,CN,39,,105888.88,49435,0
ИМ,11/2015,DE,39,,23174.68,9596.68,0
